Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel
2/9/2021;SHANG-CHI, Y LA LEYENDA DE LOS DIEZ ANILLOS;338425;2;36916;232;1;5
23/9/2021;LA CASA OSCURA;18539;100;18539;110;2;1
26/8/2021;PAW PATROL LA PELÍCULA;181235;200;14380;131;3;5
16/9/2021;ESCAPE ROOM 2: RETO MORTAL;37374;300;12867;166;4;2
9/9/2021;MALIGNO;81844;428;12510;125;5;4
16/9/2021;VENGANZA IMPLACABLE;27762;;10176;99;6;3
23/9/2021;AINBO;10030;;9860;79;7;2
12/8/2021;NO RESPIRES 2;284502;;8772;60;8;8
16/9/2021;SPIRIT EL INDOMABLE;23660;;8686;179;9;2
16/9/2021;CRY MACHO;19243;;6865;95;10;3
23/9/2021;OASIS KNEBWORTH 1996;3762;;3762;29;11;1
15/7/2021;SPACE JAM: UNA NUEVA ERA;631156;;3382;38;12;12
2/9/2021;PETER RABBIT CONEJO EN FUGA;50595;;3164;47;13;5
12/8/2021;FREE GUY: TOMANDO EL CONTROL;159384;;2675;15;14;8
23/9/2021;LOS AÑOS MAS BELLOS DE UNA VIDA;2294;;2294;21;15;1
23/9/2021;INFIDELIDAD MORTAL;2167;;2167;65;16;1
24/6/2021;RAPIDOS Y FURIOSOS 9;946028;;1240;9;17;14
10/6/2021;EL CONJURO: EL DIABLO ME OBLIGO A HACERLO;427887;;1067;6;18;16
23/9/2021;UNDINE;1021;;1021;18;19;1
23/9/2021;KARNAWAL;1011;;1011;13;20;1
29/7/2021;JUNGLE CRUISE;223844;;732;7;21;10
5/8/2021;EL ESCUADRON SUICIDA;258981;;567;8;22;9
14/1/2021;¡SCOOBY!;25395;;517;10;23;32
1/7/2021;LOS CROODS 2: UNA NUEVA ERA;316708;;482;5;24;13
12/8/2021;EL PADRE;24950;;475;4;25;9
15/7/2021;LA PURGA POR SIEMPRE;223912;;474;5;26;11
21/9/2021;"""FESTIVAL BANFN MOUNTAIN FILM""";1130;;428;1;27;2
2/9/2021;AFTER: ALMAS PERDIDAS;24452;;388;6;28;4
22/7/2021;UN JEFE EN PAÑALES NEGOCIOS DE FAMILIA;361356;;370;4;29;11
25/3/2021;GODZILLA VS. KONG;632507;;335;5;30;18
30/9/2021;SIN TIEMPO PARA MORIR;273;;273;3;31;1
7/9/2017;AKIRA;5622;;266;1;32;6
27/5/2021;CRUELLA;138781;;252;1;33;15
16/9/2021;EL IMPERIO DE LOS SENTIDOS;1041;;230;3;34;2
22/9/2021;"CICLO ""LUZ, CÁMARA, CLICK""";399;;230;1;35;2
19/8/2021;JACCUSE;8063;;212;4;36;6
19/12/2019;LA NOCHE MÁS LARGA;18775;;211;1;37;16
23/9/2021;GORO, EL QUE MUEVE LOS HILOS;180;;180;1;38;1
18/2/2021;LAS SIAMESAS;1763;;174;1;39;16
23/9/2021;MARI;171;;171;1;40;1
29/7/2021;VIEJOS;54358;;164;2;41;10
22/7/2021;UN LUGAR EN SILENCIO PARTE 2;144886;;152;1;42;8
1/1/1953;LOS INUTILES;1816;;148;1;43;7
4/3/2021;RAYA Y EL ULTIMO DRAGON;124978;;121;1;44;27
19/8/2021;REMINISCENCIA;15498;;120;4;45;6
9/9/2021;LA CHICA MAS RARA DEL MUNDO;1113;;112;1;46;3
30/9/2021;LOS SANTOS DE LA MAFIA;111;;111;2;47;1
12/12/2019;HOGAR;1760;;102;1;48;11
11/3/2021;TOM Y JERRY;194810;;102;1;49;27
30/9/2021;EL PROFUGO;100;;100;1;50;1
23/9/2021;UNA CASA CON DIEZ PINOS;100;;100;2;51;1
19/12/2019;UNA CASA LEJOS;1835;;97;1;52;21
25/7/2021;ENCICLOPEDIA CINEMATOGRÁFICA DEL VAMPIRISMO PARTE 1;2016;;90;1;53;8
26/8/2021;JUSTICIA IMPLACABLE;22466;;89;1;54;5
26/8/2021;LAS RANAS;554;;85;1;55;4
23/9/2021;LA FIESTA SILENCIOSA;71;;71;8;56;1
26/12/2019;LA GOMERA;10151;;70;1;57;18
18/2/2021;LA CHANCHA;167;;68;1;58;2
18/3/2021;BANDIDO;1293;;68;4;59;10
2/9/2021;"""CICLO CULTURAL SEPTIEMBRE""";673;;68;1;60;4
15/4/2021;LAS MOTITOS;546;;64;4;61;10
9/9/2021;ESQUIRLAS;528;;52;5;62;3
2/9/2021;TOXICO;186;;44;2;63;4
26/8/2021;EL CULTO;194;;44;3;64;5
24/6/2021;OJOS DE ARENA;724;;31;1;65;14
25/2/2021;PLANTA PERMANENTE;650;;29;1;66;10
1/9/2021;PROGRAMACION SEPTIEMBRE - EL JARDIN DE LAS DELICIAS 600750;212;;28;1;67;5
23/9/2021;EL MUNDO QUE QUISIERA;27;;27;1;68;1
5/8/2021;EMILIA;537;;23;1;69;7
23/9/2021;YO ADOLESCENTE;18;;18;2;70;1
25/3/2021;LOPEZ;477;;16;1;71;7
26/8/2021;CANDYMAN;31561;;16;1;72;5
23/9/2021;CUMBIA QUE TE VAS DE RONDA;14;;14;1;73;1
4/3/2021;ANDA A LAVAR LOS PLATOS;347;;12;1;74;7
2/9/2021;UNA CASA SIN CORTINAS;244;;6;1;75;3
7/9/2021;"CICLO ""MARTES FRANCÉS""";74;;6;1;76;4
12/8/2021;TODOS TENEMOS UN MUERTO EN EL PLACARD O UN HIJO EN EL CL..;1536;;2;1;77;5
30/9/2021;AMENAZA BAJO EL AGUA;2;;2;1;78;1
