Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel;region;pais;cantidad
30/9/2021;SIN TIEMPO PARA MORIR;79147;3;78874;411;1;2;EE.UU;EE.UU;1
2/9/2021;SHANG-CHI, Y LA LEYENDA DE LOS DIEZ ANILLOS;364896;20;26471;140;2;6;EE.UU;EE.UU;1
23/9/2021;LA CASA OSCURA;33586;40;15047;100;3;2;EE.UU;EE.UU;1
26/8/2021;PAW PATROL LA PELÍCULA;193735;60;12500;126;4;6;EE.UU;EE.UU;1
23/9/2021;AINBO;21284;80;11254;87;5;3;LATAM;PERU;1
30/9/2021;EL PROFUGO;8035;91;7935;52;6;2;ARGENTINA;ARGENTINA;1
30/9/2021;AMENAZA BAJO EL AGUA;7603;;7601;87;7;2;OCEANIA;AUSTRALIA;1
30/9/2021;LOS SANTOS DE LA MAFIA;6512;;6401;77;8;2;EE.UU;EE.UU;1
9/9/2021;MALIGNO;87427;;5583;48;9;5;EE.UU;EE.UU;1
16/9/2021;ESCAPE ROOM 2: RETO MORTAL;42587;;5213;47;10;3;EE.UU;EE.UU;1
12/8/2021;NO RESPIRES 2;289119;;4617;29;11;9;EE.UU;EE.UU;1
16/9/2021;SPIRIT EL INDOMABLE;28259;;4599;84;12;3;EE.UU;EE.UU;1
16/9/2021;VENGANZA IMPLACABLE;30641;;2879;26;13;4;EE.UU;EE.UU;1
15/7/2021;SPACE JAM: UNA NUEVA ERA;634025;;2869;30;14;13;EE.UU;EE.UU;1
2/9/2021;PETER RABBIT CONEJO EN FUGA;52987;;2392;24;15;6;EE.UU;EE.UU;1
16/9/2021;CRY MACHO;21396;;2153;30;16;4;EE.UU;EE.UU;1
12/8/2021;FREE GUY: TOMANDO EL CONTROL;161084;;1700;12;17;9;EE.UU;EE.UU;1
23/9/2021;LOS AÑOS MAS BELLOS DE UNA VIDA;3251;;957;10;18;2;EUROPA;FRANCIA;1
30/9/2021;NOCTURNA;839;;839;6;19;1;EE.UU;EE.UU;1
10/6/2021;EL CONJURO: EL DIABLO ME OBLIGO A HACERLO;428616;;729;3;20;17;EE.UU;EE.UU;1
24/6/2021;RAPIDOS Y FURIOSOS 9;946730;;702;4;21;15;EE.UU;EE.UU;1
29/7/2021;JUNGLE CRUISE;224501;;657;5;22;11;EE.UU;EE.UU;1
14/1/2021;¡SCOOBY!;26015;;620;10;23;33;EE.UU;EE.UU;1
12/8/2021;EL PADRE;25509;;559;5;24;10;EE.UU;EE.UU;1
2/10/2021;"CICLO ""KUROSAWA, LADO B""";513;;513;1;25;1;OTRO;OTRO;1
30/9/2021;UNA EDUCACION PARISINA;440;;440;9;26;1;EUROPA;FRANCIA;1
15/7/2021;LA PURGA POR SIEMPRE;224316;;404;4;27;12;EE.UU;EE.UU;1
19/8/2021;JACCUSE;8441;;378;5;28;7;EUROPA ;FRANCIA;1
23/9/2021;UNDINE;1388;;367;3;29;2;EUROPA;ALEMANIA;1
23/9/2021;KARNAWAL;1351;;340;1;30;2;ARGENTINA;ARGENTINA;1
22/7/2021;UN JEFE EN PAÑALES NEGOCIOS DE FAMILIA;361694;;338;5;31;12;EE.UU;EE.UU;1
1/7/2021;LOS CROODS 2: UNA NUEVA ERA;316996;;288;4;32;14;EE.UU;EE.UU;1
5/3/2020;NIÑA MAMA;993;;267;1;33;5;ARGENTINA;ARGENTINA;1
25/3/2021;GODZILLA VS. KONG;632726;;219;1;34;19;EE.UU;EE.UU;1
27/5/2021;CRUELLA;138991;;210;1;35;16;EE.UU;EE.UU;1
22/9/2021;"CICLO ""LUZ, CÁMARA, CLICK""";559;;160;1;36;3;OTRO;OTRO;1
20/5/2021;LOS RAYOS;459;;142;1;37;7;ARGENTINA;ARGENTINA;1
23/9/2021;UNA CASA CON DIEZ PINOS;235;;135;1;38;2;ARGENTINA;ARGENTINA;1
30/9/2021;EL LUGAR DE LA DESAPARICION;134;;134;1;39;1;ARGENTINA;ARGENTINA;1
8/7/2021;MAPA DE SUEÑOS LATINOAMERICANOS;515;;127;1;40;5;ARGENTINA;ARGENTINA;1
17/10/2019;EL PATALARGA;3173;;124;2;41;19;ARGENTINA;ARGENTINA;1
23/9/2021;LA FIESTA SILENCIOSA;192;;121;6;42;2;ARGENTINA;ARGENTINA;1
5/8/2021;EL ESCUADRON SUICIDA;259091;;110;2;43;10;EE.UU;EE.UU;1
5/8/2021;MARTIN EDEN;2704;;91;1;44;6;EUROPA;ITALIA;1
4/10/2021;17ª FESTIVAL FESTIFREAK;89;;89;1;45;1;OTRO;OTRO;1
23/9/2021;YO ADOLESCENTE;102;;84;5;46;2;ARGENTINA;ARGENTINA;1
21/9/2017;LA NOVIA DEL DESIERTO;5821;;68;1;47;22;ARGENTINA;ARGENTINA;1
1/10/2021;CICLO OCTUBRE SALA 2;68;;68;1;48;1;OTRO;OTRO;1
3/10/2021;PROGRAMACION CINE AMBULANTE LAURETI;65;;65;1;49;1;OTRO;OTRO;1
8/4/2021;NOSOTRAS TAMBIÉN ESTUVIMOS;132;;63;1;50;2;ARGENTINA;ARGENTINA;1
5/8/2021;EMILIA;596;;59;1;51;8;ARGENTINA;ARGENTINA;1
1/10/2021;CICLO DIEGO RECALDE - SALA 1;58;;58;1;52;1;OTRO;OTRO;1
2/9/2021;A PUERTAS CERRADAS;2044;;44;1;53;4;EUROPA;FRANCIA;1
29/7/2021;VIEJOS;54391;;33;1;54;11;EE.UU;EE.UU;1
30/9/2021;EL CAZADOR;31;;31;1;55;2;ARGENTINA;ARGENTINA;1
9/9/2021;ESQUIRLAS;555;;27;2;56;4;ARGENTINA;ARGENTINA;1
1/10/2021;PROGRAMACION OCTUBRE - EL JARDIN DE LAS DELICIAS 600750;25;;25;1;57;1;OTRO;OTRO;1
15/4/2021;LAS MOTITOS;570;;24;2;58;11;ARGENTINA;ARGENTINA;1
18/2/2021;LA CHANCHA;188;;21;1;59;3;ARGENTINA;ARGENTINA;1
23/2/2017;ALTA CUMBIA;7959;;20;1;60;16;ARGENTINA;ARGENTINA;1
18/2/2021;LAS SIAMESAS;1781;;18;1;61;17;ARGENTINA;ARGENTINA;1
18/3/2021;BANDIDO;1310;;17;2;62;11;ARGENTINA;ARGENTINA;1
26/8/2021;EL CULTO;203;;9;1;63;6;ARGENTINA;ARGENTINA;1
26/8/2021;SOÑANDO MARTIN;45;;9;1;64;4;ARGENTINA;ARGENTINA;1
24/6/2021;OJOS DE ARENA;732;;8;1;65;15;ARGENTINA;ARGENTINA;1
4/3/2021;RAYA Y EL ULTIMO DRAGON;124986;;8;1;66;28;EE.UU;EE.UU;1
1/10/2021;DU CINEMA;8;;8;1;67;1;OTRO;OTRO;1
11/3/2021;TOM Y JERRY;194817;;7;1;68;28;EE.UU;EE.UU;1
30/9/2021;LA CRECIENTE;6;;6;1;69;1;ARGENTINA;ARGENTINA;1
25/2/2021;PLANTA PERMANENTE;656;;6;1;70;11;ARGENTINA;ARGENTINA;1
26/8/2021;LA SOLEDAD DE LOS HUESOS;257;;6;1;71;4;ARGENTINA;ARGENTINA;1
4/3/2021;ANDA A LAVAR LOS PLATOS;350;;3;1;72;8;ARGENTINA;ARGENTINA;1
