Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel;argentina;cantidad
4/11/2021;ETERNALS;318538;1;318450;475;1;2;EE.UU;1
7/10/2021;VENOM: CARNAGE LIBERADO;762975;50;51709;171;2;5;EE.UU;1
14/10/2021;RON DA ERROR;111696;100;32699;171;3;4;EE.UU;1
21/10/2021;DUNA;155406;152;23489;130;4;5;EE.UU;1
28/10/2021;ESPIRITUS OSCUROS;36113;;13719;79;5;3;EE.UU;1
28/10/2021;YO NENA YO PRINCESA;20355;;8317;39;6;2;Argentina;1
14/10/2021;HALLOWEEN KILLS: LA NOCHE NO TERMINA;82698;;6751;46;7;4;EE.UU;1
4/11/2021;ALERTA ROJA;5219;;5219;34;8;1;EE.UU;1
7/10/2021;LOS LOCOS ADDAMS 2;120590;;4196;42;9;5;EE.UU;1
30/9/2021;SIN TIEMPO PARA MORIR;168994;;3504;12;10;7;EE.UU;1
14/10/2021;CATO;61603;;3082;20;11;5;Argentina;1
4/11/2021;DIOS MIO ¿Y AHORA QUE HEMOS HECHO?;1613;;1613;20;12;1;Europa;1
28/10/2021;TERREMOTO 8.5;4858;;1049;8;13;2;EE.UU;1
4/11/2021;THE DOORS: LIVE AT THE BOWL ´68 SPECIAL EDITION;996;;996;24;14;1;EE.UU;1
4/11/2021;ASIA;976;;976;16;15;1;EE.UU;1
1/11/2021;SOLA;1064;;924;3;16;2;Argentina;1
30/9/2021;EL PROFUGO;23636;;837;9;17;7;Argentina;1
21/10/2021;CHERNOBIL: LA PELICULA;16263;;810;5;18;4;EE.UU;1
28/10/2021;EL SECRETO DE MARO;4267;;805;4;19;2;Argentina;1
4/11/2021;HOMENAJE A JEAN PAUL BELMONDO;664;;664;1;20;1;Argentina;1
28/10/2021;ROCK DOG: RENACE UNA ESTRELLA;5444;;649;16;21;2;EE.UU;1
14/10/2021;EL ULTIMO DUELO;19098;;600;2;22;4;EE.UU;1
4/11/2021;EL APEGO;530;;530;6;23;1;Argentina;1
20/12/2018;LA CASA DE LOS CONEJOS;3339;;361;5;24;4;Argentina;1
4/11/2021;DESTERRO;323;;323;2;25;1;Europa;1
NULL;LA FAMILIA MONSTER 2;300;;300;2;26;1;EE.UU;1
4/11/2021;THE DOORS: LIVE AT THE BOWL ´68 SPECIAL EDITION (CORTO);289;;289;6;27;1;EE.UU;1
4/11/2021;CAPERUCITA ROJA;275;;275;2;28;1;EE.UU;1
29/11/2001;HARRY POTTER Y LA PIEDRA FILOSOFAL;1388338;;254;2;29;74;EE.UU;1
28/10/2021;EL CASO COLLINI;1760;;243;5;30;2;Europa;1
14/1/2021;¡SCOOBY!;28528;;240;5;31;38;EE.UU;1
14/10/2021;VIVIR SU VIDA;2117;;219;2;32;4;Europa;1
26/8/2021;PAW PATROL LA PELÍCULA;208608;;202;3;33;11;EE.UU;1
21/10/2021;RETRATO DE UNA MUJER EN LLAMAS;3179;;193;3;34;3;Europa;1
4/11/2021;ADIOS A LA MEMORIA;158;;158;1;35;1;Argentina;1
11/11/2021;LA FORMA DEL BOSQUE;152;;152;1;36;1;Argentina;1
23/9/2021;LOS AÑOS MAS BELLOS DE UNA VIDA;4327;;123;1;37;6;Europa;1
1/11/2021;ARTEON ESPACIO DE ARTE - NOVIEMBRE;67;;67;1;38;1;Argentina;1
23/9/2021;LA CASA OSCURA;47034;;61;1;39;7;EE.UU;1
28/10/2021;AMORES ANDANTES;132;;52;1;40;2;NA;1
28/10/2021;EL ARPONERO;123;;52;1;41;2;NA;1
23/9/2021;AINBO;32366;;42;2;42;8;Latam;1
14/10/2021;UN CUERPO ESTALLO EN MIL PEDAZOS;767;;38;1;43;4;Argentina;1
7/11/2019;UNA BANDA DE CHICAS;2059;;34;1;44;21;Argentina;1
23/9/2021;KARNAWAL;1614;;31;1;45;7;Argentina;1
28/11/2019;EL SILENCIO DEL CAZADOR;4925;;20;1;46;21;Argentina;1
7/10/2021;AMOR BANDIDO;1228;;15;3;47;5;Argentina;1
14/4/2021;CANELA, SÓLO SE VIVE DOS VECES;481;;13;1;48;5;Argentina;1
9/9/2021;LA CHICA MAS RARA DEL MUNDO;1147;;8;1;49;8;Argentina;1
26/12/2019;36 HORAS;392;;7;1;50;4;Argentina;1
9/9/2021;ESQUIRLAS;609;;7;1;51;8;Argentina;1
1/11/2021;CCSM SALA 2- CICLO CULTURAL NOVIEMBRE;5;;5;1;52;1;Argentina;1
18/2/2021;LAS SIAMESAS;1815;;4;1;53;19;Argentina;1
23/9/2021;YO ADOLESCENTE;211;;2;1;54;7;Argentina;1
8/4/2021;NOSOTRAS TAMBIÉN ESTUVIMOS;154;;2;1;55;7;Argentina;1
12/8/2021;TODOS TENEMOS UN MUERTO EN EL PLACARD O UN HIJO EN EL CL;1556;;0;1;56;9;Argentina;1
