Fecha Estreno;ing Titulo;Entradas Total;Espec. Semana;Pantallas;Rank;Semana Cartel;país;cantidad
4/11/2021;ETERNALS;463903;141188;400;1;3;EE.UU;1
29/11/2001;HARRY POTTER Y LA PIEDRA FILOSOFAL;1468177;79839;134;2;75;EE.UU;1
7/10/2021;VENOM: CARNAGE LIBERADO;797534;33413;154;3;6;EE.UU;1
14/10/2021;RON DA ERROR;137411;25033;158;4;5;EE.UU;1
21/10/2021;DUNA;166044;10444;49;5;6;EE.UU;1
28/10/2021;ESPIRITUS OSCUROS;44500;8082;67;6;4;EE.UU;1
28/10/2021;YO NENA YO PRINCESA;27272;6516;45;7;3;ARGENTINA;1
11/11/2021;EL RESCATE;3584;3584;76;8;1;EE.UU;1
7/10/2021;LOS LOCOS ADDAMS 2;123688;2908;33;9;6;EE.UU;1
30/9/2021;SIN TIEMPO PARA MORIR;170902;1908;11;10;8;EE.UU;1
14/10/2021;HALLOWEEN KILLS: LA NOCHE NO TERMINA;84303;1459;17;11;5;EE.UU;1
11/11/2021;LA FORMA DEL BOSQUE;1544;1392;15;12;2;ARGENTINA;1
14/10/2021;CATO;62820;1094;11;13;6;ARGENTINA;1
4/11/2021;ALERTA ROJA;6209;836;9;14;2;EE.UU;1
11/11/2021;DETECTIVE CONAN;826;826;14;15;1;JAPÓN;1
28/10/2021;TERREMOTO 8.5;5456;598;5;16;3;EE.UU;1
7/10/2021;AMOR BANDIDO;1787;559;6;17;6;ARGENTINA;1
4/11/2021;ASIA;1522;546;7;18;2;EE.UU;1
14/10/2021;EL ULTIMO DUELO;19630;532;3;19;5;EE.UU;1
28/10/2021;EL SECRETO DE MARO;4794;527;5;20;3;ARGENTINA;1
21/10/2021;CHERNOBIL: LA PELICULA;16727;464;2;21;5;ARGENTINA;1
30/9/2021;EL PROFUGO;24025;370;7;22;8;ARGENTINA;1
21/10/2021;RETRATO DE UNA MUJER EN LLAMAS;3580;364;6;23;4;EUROPA;1
4/11/2021;DIOS MIO ¿Y AHORA QUE HEMOS HECHO?;1962;320;9;24;2;EUROPA;1
12/8/2021;NO RESPIRES 2;294338;244;2;25;14;EE.UU;1
24/6/2021;RAPIDOS Y FURIOSOS 9;947219;241;2;26;17;EE.UU;1
14/1/2021;¡SCOOBY!;29068;240;8;27;39;EE.UU;1
NULL;GHOSTBUSTERS: EL LEGADO;223;223;1;28;1;EE.UU;1
26/8/2021;PAW PATROL LA PELÍCULA;208825;217;5;29;12;EE.UU;1
28/10/2021;ROCK DOG: RENACE UNA ESTRELLA;5685;216;7;30;3;EE.UU;1
20/12/2018;LA CASA DE LOS CONEJOS;3543;204;3;31;5;ARGENTINA;1
11/11/2021;"CICLO ""CINE NORUEGO""";203;203;1;32;1;OTRO;1
12/11/2021;ERRANTE CORAZON - CCSM;180;180;1;33;1;ARGENTINA;1
1/7/2021;LOS CROODS 2: UNA NUEVA ERA;317524;155;2;34;19;EE.UU;1
14/10/2021;VIVIR SU VIDA;2267;150;1;35;5;EUROPA;1
4/11/2021;LAS SOMBRAS - CC 25 DE MAYO;163;140;1;36;2;OTRO;1
1/11/2021;CCSM SALA 2- CICLO CULTURAL NOVIEMBRE;130;125;1;37;2;OTRO;1
16/9/2021;SPIRIT EL INDOMABLE;29554;118;1;38;6;EE.UU;1
2/9/2021;SHANG-CHI, Y LA LEYENDA DE LOS DIEZ ANILLOS;383249;113;2;39;11;EE.UU;1
30/9/2021;UNA EDUCACION PARISINA;832;112;1;40;4;EE.UU;1
4/11/2021;CAPERUCITA ROJA;378;103;1;41;2;EE.UU;1
11/11/2021;SFUMATO;82;82;1;42;1;EUROPA;1
2/9/2021;ESPIRAL;20124;78;2;43;5;EE.UU;1
25/3/2021;LA FABRICA DE SUEÑOS;1228;73;1;44;4;EUROPA;1
16/9/2021;VENGANZA IMPLACABLE;30855;62;2;45;6;EE.UU;1
1/11/2021;ARTEON ESPACIO DE ARTE - NOVIEMBRE;120;53;1;46;2;OTRO;1
11/11/2021;ILSE FUSKOVA;46;46;2;47;1;ARGENTINA;1
28/10/2021;EL ARPONERO;167;44;1;48;3;OTRO;1
28/10/2021;AMORES ANDANTES;175;43;1;49;3;OTRO;1
1/11/2021;PROGRAMACION EL JARDIN DE LAS DELICIAS - NOVIEMBRE;270;27;1;50;3;OTRO;1
15/4/2021;LAS MOTITOS;659;23;1;51;15;ARGENTINA;1
2/9/2021;A PUERTAS CERRADAS;2285;23;1;52;7;EUROPA;1
4/11/2021;ADIOS A LA MEMORIA;180;22;1;53;2;ARGENTINA;1
1/11/2021;SOLA;1085;21;4;54;3;ARGENTINA;1
23/9/2021;KARNAWAL;1634;20;1;55;8;ARGENTINA;1
28/10/2021;EL CASO COLLINI;1784;16;1;56;3;EUROPA;1
23/9/2021;AINBO;32381;15;1;57;9;LATAM;1
9/9/2021;LA CHICA MAS RARA DEL MUNDO;1160;13;1;58;9;ARGENTINA;1
25/3/2021;LOPEZ;489;12;1;59;8;ARGENTINA;1
1/10/2021;DU CINEMA - FUNDACIÓN COLUMBIA;19;5;1;60;2;OTRO;1
28/10/2021;LA VIDA DORMIDA;27;3;1;61;2;ARGENTINA;1
26/12/2019;36 HORAS;394;2;1;62;5;ARGENTINA;1
4/11/2021;DESTERRO;325;2;1;63;2;EUROPA;1
5/8/2021;MARTIN EDEN;2884;2;1;64;11;EUROPA;1
19/12/2019;TROPICO;135;1;1;65;4;ARGENTINA;1
8/4/2021;NOSOTRAS TAMBIÉN ESTUVIMOS;155;1;1;66;8;ARGENTINA;1
