Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel;país;cantidad
4/11/2021;ETERNALS;563083;1;89777;248;1;4;EE.UU;1
18/11/2021;GHOSTBUSTERS: EL LEGADO;78690;50;78467;322;2;2;EE.UU;1
29/11/2001;HARRY POTTER Y LA PIEDRA FILOSOFAL;1498968;100;25554;133;3;76;EE.UU;1
7/10/2021;VENOM: CARNAGE LIBERADO;823036;150;22370;97;4;7;EE.UU;1
14/10/2021;RON DA ERROR;157828;223;18647;118;5;6;EE.UU;1
18/11/2021;LA CRONICA FRANCESA;16508;;16508;64;6;1;EE.UU;1
18/11/2021;EL MISTERIO DE SOHO;15683;;15683;82;7;1;EE.UU;1
18/11/2021;RIESGO BAJO CERO;11381;;11381;84;8;1;EE.UU;1
21/10/2021;DUNA;172068;;5702;20;9;7;EE.UU;1
28/10/2021;YO NENA YO PRINCESA;34452;;4049;29;10;4;ARGENTINA;1
28/10/2021;ESPIRITUS OSCUROS;48776;;3111;24;11;5;EE.UU;1
7/10/2021;LOS LOCOS ADDAMS 2;125894;;1963;21;12;7;EE.UU;1
30/9/2021;SIN TIEMPO PARA MORIR;172271;;1237;7;13;9;EE.UU;1
18/11/2021;ONE PIECE GOLD;886;;886;13;14;1;ASIA;1
23/11/2021;SUPER JUNIOR WORLD TOUR [SUPER SHOW 8 : INFINITE TIME];877;;877;12;15;1;ASIA;1
14/10/2021;CATO;64168;;703;8;16;7;ARGENTINA;1
14/10/2021;HALLOWEEN KILLS: LA NOCHE NO TERMINA;85171;;538;9;17;6;EE.UU;1
14/10/2021;EL ULTIMO DUELO;19994;;364;5;18;6;EE.UU;1
10/6/2021;EL CONJURO: EL DIABLO ME OBLIGO A HACERLO;430705;;360;2;19;22;EE.UU;1
30/9/2021;EL PROFUGO;24460;;358;6;20;9;ARGENTINA;1
14/1/2021;¡SCOOBY!;29368;;300;5;21;40;EE.UU;1
15/7/2021;LA PURGA POR SIEMPRE;224896;;280;3;22;17;EE.UU;1
4/11/2021;ALERTA ROJA;6501;;259;1;23;3;EE.UU;1
18/11/2021;RETIROS (IN) VOLUNTARIOS;258;;258;3;24;1;ARGENTINA;1
11/11/2021;"CICLO ""CINE NORUEGO""";495;;253;1;25;2;OTRO;1
25/11/2021;ENCANTO;246;;246;2;26;1;EE.UU;1
28/10/2021;ROCK DOG: RENACE UNA ESTRELLA;5937;;237;6;27;4;EE.UU;1
22/7/2021;UN JEFE EN PAÑALES NEGOCIOS DE FAMILIA;362328;;231;3;28;15;EE.UU;1
25/11/2021;LA CASA GUCCI;223;;223;1;29;1;EE.UU;1
