Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel;region;pais;cantidad;
25/11/2021;EL PERRO QUE NO CALLA;1710;;1710;12;14;1;ARGENTINA;ARGENTINA;1;
2/12/2021;EX CASADOS;444;;444;2;23;1;ARGENTINA;ARGENTINA;1;
NULL;LA SOMBRA DEL GATO;208;;208;1;32;1;ARGENTINA;ARGENTINA;1;
26/11/2021;SALIR DE PUTA;65;;65;2;47;1;ARGENTINA;ARGENTINA;1;
26/11/2021;LA HERIDA Y EL CUCHILLO;12;;12;1;65;1;ARGENTINA;ARGENTINA;1;
28/11/2021;ALGO SE ENCIENDE;10;;10;1;66;1;ARGENTINA;ARGENTINA;1;
12/12/2019;TARANTO;431;;41;1;56;2;ARGENTINA;ARGENTINA;1;
2/8/2018;¡QUE VIVAS 100 AÑOS!;127;;49;1;51;3;ARGENTINA;ARGENTINA;1;
11/11/2021;ILSE FUSKOVA;637;;45;3;54;3;ARGENTINA;ARGENTINA;1;
11/11/2021;SFUMATO;201;;43;1;55;3;ARGENTINA;ARGENTINA;1;
19/7/2021;CON NOMBRE DE FLOR;147;;27;1;62;3;ARGENTINA;ARGENTINA;1;
26/8/2021;CORTAZAR Y ANTIN: CARTAS ILUMINADAS;309;;9;1;69;3;ARGENTINA;ARGENTINA;1;
4/11/2021;EL APEGO;1191;;40;1;57;4;ARGENTINA;ARGENTINA;1;
28/10/2021;YO NENA YO PRINCESA;38943;;3903;23;11;5;ARGENTINA;ARGENTINA;1;
28/10/2021;EL SECRETO DE MARO;5189;;76;1;46;5;ARGENTINA;ARGENTINA;1;
1/11/2021;SOLA;1309;;4;1;74;5;ARGENTINA;ARGENTINA;1;
6/5/2021;ERRANTE CORAZON;2868;;422;6;24;6;ARGENTINA;ARGENTINA;1;
19/12/2019;TROPICO;242;;6;1;70;6;ARGENTINA;ARGENTINA;1;
20/12/2018;LA CASA DE LOS CONEJOS;3781;;55;1;50;7;ARGENTINA;ARGENTINA;1;
26/12/2019;36 HORAS;431;;5;1;72;7;ARGENTINA;ARGENTINA;1;
23/9/2021;YO ADOLESCENTE;244;;33;1;60;8;ARGENTINA;ARGENTINA;1;
14/10/2021;CATO;64280;;9;1;68;8;ARGENTINA;ARGENTINA;1;
30/9/2021;EL PROFUGO;24509;;9;1;67;10;ARGENTINA;ARGENTINA;1;
19/12/2019;LA BOTERA;2953;;2;1;76;17;ARGENTINA;ARGENTINA;1;24
18/11/2021;ONE PIECE GOLD;2002;;1116;13;17;2;ASIA;JAPON;1;
12/10/1995;LOS PUENTES DE MADISON;836;;836;31;18;1;EE.UU;EE.UU;1;
29/10/1992;LOS IMPERDONABLES;524;;524;30;21;1;EE.UU;EE.UU;1;
20/1/1972;HARRY EL SUCIO;355;;355;30;26;1;EE.UU;EE.UU;1;
NULL;SING 2, VEN Y CANTA DE NUEVO;100;;100;1;43;1;EE.UU;EE.UU;1;
1/12/2021;KING RICHARD: UNA FAMILIA GANADORA;100;;100;1;44;1;EE.UU;EE.UU;1;
25/11/2021;ENCANTO;176588;2;176342;409;1;2;EE.UU;EE.UU;1;
25/11/2021;LA CASA GUCCI;50771;50;50548;158;2;2;EE.UU;EE.UU;1;
18/11/2021;LA CRONICA FRANCESA;25054;;8415;29;6;2;EE.UU;EE.UU;1;
18/11/2021;EL MISTERIO DE SOHO;20795;;4908;43;9;2;EE.UU;EE.UU;1;
