Fecha Estreno;ing Titulo;Entradas Total;entradas_total (v_is_pelicula_diario);Espec. Semana;Pantallas;Rank;Semana Cartel;region;pais;cantidad
25/11/2021;ENCANTO;343591;8;164667;365;1;3;EE.UU;EE.UU;1
25/11/2021;LA CASA GUCCI;88999;100;37522;144;2;3;EE.UU;EE.UU;1
4/11/2021;ETERNALS;650336;200;36155;113;3;6;EE.UU;EE.UU;1
2/12/2021;RESIDENT EVIL: BIENVENIDOS A RACCONN CITY;36085;300;35841;195;4;2;EE.UU;EE.UU;1
18/11/2021;GHOSTBUSTERS: EL LEGADO;149881;420;28855;120;5;4;EE.UU;EE.UU;1
2/12/2021;EX CASADOS;15408;;14964;102;6;2;ARGENTINA;ARGENTINA;1
1/12/2021;KING RICHARD: UNA FAMILIA GANADORA;13225;;13125;96;7;2;EE.UU;EE.UU;1
2/12/2021;LA FAMILIA MONSTER 2;8831;;8331;91;8;3;EE.UU;EE.UU;1
7/10/2021;VENOM: CARNAGE LIBERADO;840772;;6806;25;9;9;EE.UU;EE.UU;1
2/12/2021;VIVO;5622;;5622;13;10;1;EE.UU;EE.UU;1
18/11/2021;LA CRONICA FRANCESA;30656;;5395;16;11;3;EE.UU;EE.UU;1
2/12/2021;BUENOS AIRES ROJO SANGRE 2021;2354;;2354;3;12;1;OTRO;OTRO;1
28/10/2021;YO NENA YO PRINCESA;41445;;2320;13;13;6;ARGENTINA;ARGENTINA;1
25/11/2021;EL NIDO;6843;;2173;9;14;2;EUROPA;ITALIA;1
18/11/2021;EL MISTERIO DE SOHO;22502;;1678;16;15;3;EE.UU;EE.UU;1
8/12/2021;GORILLAZ SONG MACHINE LIVE FROM KONG;1464;;1464;25;16;1;EE.UU;EE.UU;1
25/11/2021;ASALTO A LA CASA DE MONEDA;8867;;1398;12;17;3;EUROPA;ESPAÑA;1
29/11/2021;SEMANA DE CANNES EN GAUMONT 2021;2940;;1260;1;18;2;OTRO;OTRO;1
29/11/2001;HARRY POTTER Y LA PIEDRA FILOSOFAL;1507754;;1195;11;19;78;EE.UU;EE.UU;1
14/10/2021;RON DA ERROR;163182;;1140;11;20;8;EE.UU;EE.UU;1
18/11/2021;RIESGO BAJO CERO;14579;;872;6;21;3;EE.UU;EE.UU;1
21/10/2021;DUNA;174573;;863;3;22;9;EE.UU;EE.UU;1
28/10/2021;ESPIRITUS OSCUROS;50531;;746;6;23;7;EE.UU;EE.UU;1
2/12/2021;MILAGRO DE OTOÑO;644;;644;11;24;1;ARGENTINA;ARGENTINA;1
21/10/2021;RETRATO DE UNA MUJER EN LLAMAS;4475;;481;3;25;7;EUROPA;FRANCIA;1
1/11/2021;PROGRAMACION EL JARDIN DE LAS DELICIAS - NOVIEMBRE;1057;;304;1;26;6;OTRO;OTRO;1
9/12/2021;CLIFFORD EL GRAN PERRO ROJO;300;;300;1;27;1;EE.UU;EE.UU;1
30/11/2021;SEMANA DEL CINE DE SITGES;291;;291;1;28;1;OTRO;OTRO;1
4/12/2021;CICLO MAYICO KYO;279;;279;1;29;1;OTRO;OTRO;1
8/4/2021;INMORTAL;299;;237;10;30;3;ARGENTINA;ARGENTINA;1
14/10/2021;CATO;64507;;227;4;31;9;ARGENTINA;ARGENTINA;1
30/9/2021;SIN TIEMPO PARA MORIR;172746;;155;1;32;11;EE.UU;EE.UU;1
NULL;UNA SOLA NOCHE;150;;150;1;33;1;ARGENTINA;ARGENTINA;1
25/11/2021;EL PERRO QUE NO CALLA;1851;;136;2;34;2;ARGENTINA;ARGENTINA;1
20/12/2018;LA CASA DE LOS CONEJOS;3916;;135;1;35;8;ARGENTINA;ARGENTINA;1
NULL;THE TRAGEDY OF MACBETH;120;;120;1;36;1;EE.UU;EE.UU;1
9/12/2021;AMOR SIN BARRERA;108;;108;2;37;1;EE.UU;EE.UU;1
28/10/2021;EL SECRETO DE MARO;5287;;98;3;38;6;ARGENTINA;ARGENTINA;1
23/9/2021;LOS AÑOS MAS BELLOS DE UNA VIDA;4411;;84;1;39;7;EUROPA;FRANCIA;1
30/11/2021;IBERMEDIA 2021;187;;79;1;40;2;OTRO;OTRO;1
19/12/2019;TROPICO;308;;66;1;41;7;ARGENTINA;ARGENTINA;1
30/9/2021;EL PROFUGO;24572;;63;1;42;11;ARGENTINA;ARGENTINA;1
26/8/2021;PAW PATROL LA PELÍCULA;209180;;57;2;43;15;EE.UU;EE.UU;1
18/2/2021;LAS SIAMESAS;2392;;55;1;44;24;ARGENTINA;ARGENTINA;1
26/12/2019;36 HORAS;486;;55;2;45;8;ARGENTINA;ARGENTINA;1
2/12/2021;CICLO ISABELLA DE MATÍAS PIÑEIRO;51;;51;1;46;1;OTRO;OTRO;1
8/4/2021;NOSOTRAS TAMBIÉN ESTUVIMOS;261;;43;2;47;10;ARGENTINA;ARGENTINA;1
30/11/2021;POESÍA DE LO COTIDIANO: LOS PRIMEROS FILMS DE HELKE MISSEL..;195;;43;1;48;2;OTRO;OTRO;1
6/5/2021;ERRANTE CORAZON;2909;;40;3;49;7;ARGENTINA;ARGENTINA;1
11/11/2021;ILSE FUSKOVA;666;;29;3;50;4;ARGENTINA;ARGENTINA;1
4/11/2021;EL APEGO;1210;;19;1;51;5;ARGENTINA;ARGENTINA;1
11/11/2021;SFUMATO;219;;18;1;52;4;ARGENTINA;ARGENTINA;1
28/10/2021;LO INEVITABLE;1173;;18;1;53;4;ARGENTINA;ARGENTINA;1
7/10/2021;LOS LOCOS ADDAMS 2;126025;;17;1;54;9;EE.UU;EE.UU;1
4/3/2021;ANDA A LAVAR LOS PLATOS;404;;13;1;55;13;ARGENTINA;ARGENTINA;1
28/11/2021;ALGO SE ENCIENDE;22;;12;1;56;2;ARGENTINA;ARGENTINA;1
18/11/2021;1982;22;;12;1;57;2;ARGENTINA;ARGENTINA;1
1/12/2021;"""THE CHILDREN ACT""";12;;12;1;58;1;OTRO;OTRO;1
1/11/2021;SOLA;1320;;11;2;59;6;ARGENTINA;ARGENTINA;1
1/12/2021;CCSM SALA 2 - DICIEMBRE;10;;10;1;60;1;OTRO;OTRO;1
2/9/2021;UNA CASA SIN CORTINAS;404;;9;1;61;7;ARGENTINA;ARGENTINA;1
18/11/2021;RETIROS (IN) VOLUNTARIOS;267;;9;1;62;3;ARGENTINA;ARGENTINA;1
4/11/2021;DESTERRO;387;;8;1;63;3;ARGENTINA;ARGENTINA;1
